provider,family,model_name,model_id,status,pricing_mode,input_scope,prompt_size_band,input_price_usd,cached_input_price_usd,output_price_usd,context_cache_storage_or_other_usd,unit,thinking_support,notes,source_url
Google,Embeddings,Gemini Embedding,gemini-embedding-001,current,batch,text embeddings,all,0.075,,,,USD per 1M input tokens,unknown,Batch embeddings.,https://ai.google.dev/gemini-api/docs/pricing
Google,Embeddings,Gemini Embedding,gemini-embedding-001,current,standard,text embeddings,all,0.15,,,,USD per 1M input tokens,unknown,Text-only embeddings.,https://ai.google.dev/gemini-api/docs/pricing
Google,Embeddings,Gemini Embedding 2 Preview,gemini-embedding-2-preview,preview,standard,multimodal embeddings,all,0.2,,,Image $0.45 / audio $6.50 / video $12.00 per 1M input tokens,USD per 1M text input tokens,unknown,Multimodal embedding model.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.0,Gemini 2.0 Flash,gemini-2.0-flash,deprecated,batch,text/image/video,all,0.05,0.025,0.2,Audio input $0.35; audio cache $0.175; storage $1.00 per 1M tokens/hour,USD per 1M tokens,unknown,"Deprecated; shutdown June 1, 2026.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.0,Gemini 2.0 Flash,gemini-2.0-flash,deprecated,standard,text/image/video,all,0.1,0.025,0.4,Audio input $0.70; audio cache $0.175; storage $1.00 per 1M tokens/hour,USD per 1M tokens,unknown,"Deprecated; shutdown June 1, 2026.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.0,Gemini 2.0 Flash-Lite,gemini-2.0-flash-lite,deprecated,batch,text,all,0.0375,,0.15,,USD per 1M tokens,unknown,"Deprecated; shutdown June 1, 2026.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.0,Gemini 2.0 Flash-Lite,gemini-2.0-flash-lite,deprecated,standard,text,all,0.075,,0.3,,USD per 1M tokens,unknown,"Deprecated; shutdown June 1, 2026.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Computer Use Preview,gemini-2.5-computer-use-preview-10-2025,preview,standard,computer use,<=200k default row; >200k in notes,1.25,,10.0,,USD per 1M tokens,unknown,Prompts >200k: input $2.50 / output $15.00.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash,gemini-2.5-flash,current,batch,text/image/video,all,0.15,0.03,1.25,Audio input $0.50; audio cache $0.10; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash,gemini-2.5-flash,current,flex,text/image/video,all,0.15,0.03,1.25,Audio input $0.50; audio cache $0.10; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash,gemini-2.5-flash,current,priority,text/image/video,all,0.54,0.054,4.5,Audio input $1.80; audio cache $0.18; storage $1.80 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash,gemini-2.5-flash,current,standard,text/image/video,all,0.3,0.03,2.5,Audio input $1.00; audio cache $0.10; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash Image,gemini-2.5-flash-image,current,batch,image generation,all,0.15,,,Image output ~$0.0195 per image,USD per 1M text/image input tokens,unknown,Image output priced per image.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash Image,gemini-2.5-flash-image,current,flex,image generation,all,0.15,,,Image output ~$0.0195 per image,USD per 1M text/image input tokens,unknown,Image output priced per image.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash Image,gemini-2.5-flash-image,current,priority,image generation,all,0.54,,,Image output ~$0.0702 per image,USD per 1M text/image input tokens,unknown,Image output priced per image.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash Image,gemini-2.5-flash-image,current,standard,image generation,all,0.3,,,Image output ~$0.039 per image,USD per 1M text/image input tokens,unknown,Image output priced per image; text input priced per 1M tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash Native Audio (Live API),gemini-2.5-flash-native-audio-preview-12-2025,preview,standard,live audio/video,all,0.5,,2.0,Audio/video input $3.00; audio output $12.00,USD per 1M text tokens,yes,Text output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash Preview TTS,gemini-2.5-flash-preview-tts,preview,batch,text-to-speech,all,0.25,,5.0,,USD per 1M tokens,unknown,"Input=text, output=audio.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash Preview TTS,gemini-2.5-flash-preview-tts,preview,standard,text-to-speech,all,0.5,,10.0,,USD per 1M tokens,unknown,"Input=text, output=audio.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,current,batch,text/image/video,all,0.05,0.01,0.2,Audio input $0.15; audio cache $0.03; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,current,flex,text/image/video,all,0.05,0.01,0.2,Audio input $0.15; audio cache $0.03; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,current,priority,text/image/video,all,0.18,0.018,0.72,Audio input $0.54; audio cache $0.054; storage $1.80 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
